name,album,uri,track_number,duration_ms,explicit,spotify_url,preview_url
C:\Projects\CJOST\BEATDEATH,CONCRETE JUNGLE [THE OST],spotify:track:6RUS8FAqBfZYKmhCMIXNuN,1,57783,False,https://open.spotify.com/track/6RUS8FAqBfZYKmhCMIXNuN,
V.A.N,CONCRETE JUNGLE [THE OST],spotify:track:2WtFbotxC95UD2r1RzE036,2,274098,False,https://open.spotify.com/track/2WtFbotxC95UD2r1RzE036,
THE DRAIN,CONCRETE JUNGLE [THE OST],spotify:track:25qmm4JIi2JYsQBQ9Fm43B,3,225701,False,https://open.spotify.com/track/25qmm4JIi2JYsQBQ9Fm43B,
TERMS & CONDITIONS,CONCRETE JUNGLE [THE OST],spotify:track:2lWF9ufR8vOOXUwDslbKkQ,4,127601,False,https://open.spotify.com/track/2lWF9ufR8vOOXUwDslbKkQ,
HEDONIST [RECHARGED],CONCRETE JUNGLE [THE OST],spotify:track:1mt96PNdA3hhC0Xk0tRJUy,5,203647,True,https://open.spotify.com/track/1mt96PNdA3hhC0Xk0tRJUy,
EVEN,CONCRETE JUNGLE [THE OST],spotify:track:3uPeVmESTdC6w3yoyXY7yo,6,178235,False,https://open.spotify.com/track/3uPeVmESTdC6w3yoyXY7yo,
LOADING SCREEN,CONCRETE JUNGLE [THE OST],spotify:track:7LJFuXmxerH3wabWaTe7OB,7,113162,False,https://open.spotify.com/track/7LJFuXmxerH3wabWaTe7OB,
ANYTHING > HUMAN,CONCRETE JUNGLE [THE OST],spotify:track:7I50EtrBjzjZmHwLj7BeFl,8,235092,False,https://open.spotify.com/track/7I50EtrBjzjZmHwLj7BeFl,
DIGITAL FOOTPRINT,CONCRETE JUNGLE [THE OST],spotify:track:4N4UF7jnszjhl34qQkGYTV,9,286031,False,https://open.spotify.com/track/4N4UF7jnszjhl34qQkGYTV,
NERVOUS SYSTEM,CONCRETE JUNGLE [THE OST],spotify:track:1XwE6abXTCVCoG3Go3DteI,10,200610,False,https://open.spotify.com/track/1XwE6abXTCVCoG3Go3DteI,
C:\Projects\CJOST\FINDPEACE,CONCRETE JUNGLE [THE OST],spotify:track:4c7dm8ayGmJFeg7kR041Bk,11,57783,False,https://open.spotify.com/track/4c7dm8ayGmJFeg7kR041Bk,
ARTIFICIAL SUICIDE [UNZIPPED],CONCRETE JUNGLE [THE OST],spotify:track:3pfWGKmauTxIHmjXrXSWjt,12,112973,True,https://open.spotify.com/track/3pfWGKmauTxIHmjXrXSWjt,
THE GREY [UNZIPPED],CONCRETE JUNGLE [THE OST],spotify:track:4I2qpvz7DOIXOE7BOxu9yd,13,189435,False,https://open.spotify.com/track/4I2qpvz7DOIXOE7BOxu9yd,
THE DEATH OF PEACE OF MIND [WE ARE FURY PATCH],CONCRETE JUNGLE [THE OST],spotify:track:28vHnpglzN1Mkihqrjx4n4,14,154050,True,https://open.spotify.com/track/28vHnpglzN1Mkihqrjx4n4,
THE DEATH OF PEACE OF MIND [SO WYLIE PATCH],CONCRETE JUNGLE [THE OST],spotify:track:1onYhXhknKdbRGkw7BSS7e,15,165274,True,https://open.spotify.com/track/1onYhXhknKdbRGkw7BSS7e,
BAD DECISIONS [LOFI],CONCRETE JUNGLE [THE OST],spotify:track:3bPKzdQutpbn4gZbQrookO,16,245379,False,https://open.spotify.com/track/3bPKzdQutpbn4gZbQrookO,
JUST PRETEND [CREDITS],CONCRETE JUNGLE [THE OST],spotify:track:4Pt0FnGP3ZGyW01xngwtT3,17,239139,False,https://open.spotify.com/track/4Pt0FnGP3ZGyW01xngwtT3,
C:\Projects\CJOST\CLEARMIND,CONCRETE JUNGLE [THE OST],spotify:track:2q87g4OgcZV4Alx0a9od5w,18,57783,False,https://open.spotify.com/track/2q87g4OgcZV4Alx0a9od5w,
ARTIFICIAL SUICIDE [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:3LQhnyMGj0V2IqLi023zne,19,255870,True,https://open.spotify.com/track/3LQhnyMGj0V2IqLi023zne,
LIKE A VILLAIN [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:11rbLzecq6FSgwGSUF8tHA,20,250000,True,https://open.spotify.com/track/11rbLzecq6FSgwGSUF8tHA,
THE GREY [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:5YDhYDHRzyA3BEtGvIIHCl,21,269800,False,https://open.spotify.com/track/5YDhYDHRzyA3BEtGvIIHCl,
WHAT DO YOU WANT FROM ME? [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:0USlWw4Kuus0PDoQoVcJEW,22,224874,False,https://open.spotify.com/track/0USlWw4Kuus0PDoQoVcJEW,
NOWHERE TO GO [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:1JpdIksol4oBQebsHRwJ9v,23,294000,True,https://open.spotify.com/track/1JpdIksol4oBQebsHRwJ9v,
V.A.N [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:5N7hxXye8OQSX7EdyLfaEk,24,218752,False,https://open.spotify.com/track/5N7hxXye8OQSX7EdyLfaEk,
THE DEATH OF PEACE OF MIND [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:66R9QynlVxaQeZvmBafiOS,25,294656,True,https://open.spotify.com/track/66R9QynlVxaQeZvmBafiOS,
JUST PRETEND [LIVE 2024],CONCRETE JUNGLE [THE OST],spotify:track:76QfD8h05n9L3sldwIVaqD,26,587633,False,https://open.spotify.com/track/76QfD8h05n9L3sldwIVaqD,
CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,spotify:track:6yCysJaY0lFqHnrHvaR4pF,1,220495,True,https://open.spotify.com/track/6yCysJaY0lFqHnrHvaR4pF,
Nowhere To Go,THE DEATH OF PEACE OF MIND,spotify:track:4TzGD5Pryq8DTjv5QRuJaW,2,246774,True,https://open.spotify.com/track/4TzGD5Pryq8DTjv5QRuJaW,
Take Me First,THE DEATH OF PEACE OF MIND,spotify:track:6ERSCeGFBSwvHCvBjwrmwE,3,199685,False,https://open.spotify.com/track/6ERSCeGFBSwvHCvBjwrmwE,
THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,spotify:track:6tRneEcItwpSxBtqgem5Dr,4,241499,True,https://open.spotify.com/track/6tRneEcItwpSxBtqgem5Dr,
What It Cost,THE DEATH OF PEACE OF MIND,spotify:track:0XL8gRZn7tUoYgq9nLZhjU,5,103744,False,https://open.spotify.com/track/0XL8gRZn7tUoYgq9nLZhjU,
Like A Villain,THE DEATH OF PEACE OF MIND,spotify:track:0xoyUiHhxVH4gwb0CRgNmg,6,210685,True,https://open.spotify.com/track/0xoyUiHhxVH4gwb0CRgNmg,
bad decisions,THE DEATH OF PEACE OF MIND,spotify:track:6nbLpQF1os2DiEW8PDSK1e,7,261346,False,https://open.spotify.com/track/6nbLpQF1os2DiEW8PDSK1e,
Just Pretend,THE DEATH OF PEACE OF MIND,spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,8,204676,False,https://open.spotify.com/track/1H4Y9uW4N0LsxJUz0VnaPJ,
The Grey,THE DEATH OF PEACE OF MIND,spotify:track:5oZy9b1lMtREB3cqOPQusD,9,246336,False,https://open.spotify.com/track/5oZy9b1lMtREB3cqOPQusD,
Who are you?,THE DEATH OF PEACE OF MIND,spotify:track:1Gr0kbo4cgxYmhJa2lZX1a,10,217349,False,https://open.spotify.com/track/1Gr0kbo4cgxYmhJa2lZX1a,
Somebody else.,THE DEATH OF PEACE OF MIND,spotify:track:6FghSTlzBr93mtoBzxvz0A,11,236730,False,https://open.spotify.com/track/6FghSTlzBr93mtoBzxvz0A,
IDWT$,THE DEATH OF PEACE OF MIND,spotify:track:0GRvh5JoEwVel4qDsbqmNb,12,202952,False,https://open.spotify.com/track/0GRvh5JoEwVel4qDsbqmNb,
What do you want from me?,THE DEATH OF PEACE OF MIND,spotify:track:5vf08i7oQHGPKFAkSxJBcv,13,175845,False,https://open.spotify.com/track/5vf08i7oQHGPKFAkSxJBcv,
ARTIFICIAL SUICIDE,THE DEATH OF PEACE OF MIND,spotify:track:2Qv8xJzenocwXyGlMU5PaC,14,195000,True,https://open.spotify.com/track/2Qv8xJzenocwXyGlMU5PaC,
Miracle,THE DEATH OF PEACE OF MIND,spotify:track:6zmpNKzUeuldTRYbVZwnrq,15,225000,True,https://open.spotify.com/track/6zmpNKzUeuldTRYbVZwnrq,
Glass Houses - Live,LIVE,spotify:track:6AuRBPguXl9cU2C1cy681j,1,253565,True,https://open.spotify.com/track/6AuRBPguXl9cU2C1cy681j,
The Worst In Me - Live,LIVE,spotify:track:58iQlJBDQ7Uk53MrNnOtjm,2,262941,False,https://open.spotify.com/track/58iQlJBDQ7Uk53MrNnOtjm,
Never Know - Live,LIVE,spotify:track:5c8OaghOJko2QdoBfmglum,3,211578,False,https://open.spotify.com/track/5c8OaghOJko2QdoBfmglum,
Careful What You Wish For - Live,LIVE,spotify:track:7fpGDC0es4izVCe18JZIbj,4,337576,False,https://open.spotify.com/track/7fpGDC0es4izVCe18JZIbj,
Limits - Live,LIVE,spotify:track:0z7RgWO4AX0p5rXbj108ii,5,240291,False,https://open.spotify.com/track/0z7RgWO4AX0p5rXbj108ii,
Dethrone - Live,LIVE,spotify:track:5mMGStJz95K7ksdVE84u1c,6,238400,True,https://open.spotify.com/track/5mMGStJz95K7ksdVE84u1c,
Mercy - Live,LIVE,spotify:track:73FNthk3O6gkvWjUR0z9le,7,352588,True,https://open.spotify.com/track/73FNthk3O6gkvWjUR0z9le,
Kingdom Of Cards,Finding God Before God Finds Me (Deluxe),spotify:track:6K9UIhsxjWcJTTEway0vpH,1,261600,False,https://open.spotify.com/track/6K9UIhsxjWcJTTEway0vpH,
Running in Circles,Finding God Before God Finds Me (Deluxe),spotify:track:0pLfZdYa4gHfZT3AFLW1Pa,2,236400,False,https://open.spotify.com/track/0pLfZdYa4gHfZT3AFLW1Pa,
Careful What You Wish For,Finding God Before God Finds Me (Deluxe),spotify:track:1SJYdl77lXLeonhgh7oLCj,3,272800,False,https://open.spotify.com/track/1SJYdl77lXLeonhgh7oLCj,
The Hell I Overcame,Finding God Before God Finds Me (Deluxe),spotify:track:2ksX5zRjTmSrQYOGT1muDS,4,214399,True,https://open.spotify.com/track/2ksX5zRjTmSrQYOGT1muDS,
Dethrone,Finding God Before God Finds Me (Deluxe),spotify:track:4hC5UUtFEeUKOMekhdepEp,5,209134,True,https://open.spotify.com/track/4hC5UUtFEeUKOMekhdepEp,
Blood,Finding God Before God Finds Me (Deluxe),spotify:track:1g0ryGOD6nwjko5orc8xyM,6,230666,True,https://open.spotify.com/track/1g0ryGOD6nwjko5orc8xyM,
Mercy,Finding God Before God Finds Me (Deluxe),spotify:track:2JN6kveQqiHcBXlxN7UUpo,7,317000,True,https://open.spotify.com/track/2JN6kveQqiHcBXlxN7UUpo,
Said & Done,Finding God Before God Finds Me (Deluxe),spotify:track:1CMwAFIWUtSi3PCzJJrQHj,8,204866,False,https://open.spotify.com/track/1CMwAFIWUtSi3PCzJJrQHj,
Burning Out,Finding God Before God Finds Me (Deluxe),spotify:track:32QCuFXkNIIqtcVUPOAvn9,9,265400,False,https://open.spotify.com/track/32QCuFXkNIIqtcVUPOAvn9,
If I'm There,Finding God Before God Finds Me (Deluxe),spotify:track:70Z7R3IvTtY8YHfDmCFMw8,10,321520,False,https://open.spotify.com/track/70Z7R3IvTtY8YHfDmCFMw8,
Never Know,Finding God Before God Finds Me (Deluxe),spotify:track:2K1ENoIs1y6M5nFdJhLpvU,11,213851,False,https://open.spotify.com/track/2K1ENoIs1y6M5nFdJhLpvU,
Limits,Finding God Before God Finds Me (Deluxe),spotify:track:1u3OxJiXoYFdA0Fmd9yURC,12,207854,False,https://open.spotify.com/track/1u3OxJiXoYFdA0Fmd9yURC,
Come Undone,Finding God Before God Finds Me (Deluxe),spotify:track:4ztGu78QFB9Syh7JcS09XR,13,261398,False,https://open.spotify.com/track/4ztGu78QFB9Syh7JcS09XR,
Kingdom Of Cards,Finding God Before God Finds Me,spotify:track:3WgSSo4SoHQjodjiRG71eX,1,261600,False,https://open.spotify.com/track/3WgSSo4SoHQjodjiRG71eX,
Running in Circles,Finding God Before God Finds Me,spotify:track:2SIu08euP8FMrnAsbaHGLE,2,236400,False,https://open.spotify.com/track/2SIu08euP8FMrnAsbaHGLE,
Careful What You Wish For,Finding God Before God Finds Me,spotify:track:2gtmkmCRxmQFAr2xOPTdBo,3,272800,False,https://open.spotify.com/track/2gtmkmCRxmQFAr2xOPTdBo,
The Hell I Overcame,Finding God Before God Finds Me,spotify:track:26O5jBJggDv9p8W23dzv6z,4,214399,True,https://open.spotify.com/track/26O5jBJggDv9p8W23dzv6z,
Dethrone,Finding God Before God Finds Me,spotify:track:063enHR1mnhUpbb1rsQJOk,5,209134,True,https://open.spotify.com/track/063enHR1mnhUpbb1rsQJOk,
Blood,Finding God Before God Finds Me,spotify:track:60yhxrLlZycz1FpfifAeJI,6,230666,True,https://open.spotify.com/track/60yhxrLlZycz1FpfifAeJI,
Mercy,Finding God Before God Finds Me,spotify:track:2T8kErHLg1a7zcifCz4GSB,7,317000,True,https://open.spotify.com/track/2T8kErHLg1a7zcifCz4GSB,
Said & Done,Finding God Before God Finds Me,spotify:track:1HU18lvcOphXiyKLkaMCSy,8,204866,False,https://open.spotify.com/track/1HU18lvcOphXiyKLkaMCSy,
Burning Out,Finding God Before God Finds Me,spotify:track:4buQkMfQFNGb9FVzNW5AM7,9,265400,False,https://open.spotify.com/track/4buQkMfQFNGb9FVzNW5AM7,
If I'm There,Finding God Before God Finds Me,spotify:track:544hqGcWclPEX5jZLSXjgX,10,321520,False,https://open.spotify.com/track/544hqGcWclPEX5jZLSXjgX,
Glass Houses,Bad Omens,spotify:track:5isGPubntLfwqe1C8FYyrQ,1,240898,True,https://open.spotify.com/track/5isGPubntLfwqe1C8FYyrQ,
Exit Wounds,Bad Omens,spotify:track:57NTNluLyUYl3kvaISYeJB,2,206290,True,https://open.spotify.com/track/57NTNluLyUYl3kvaISYeJB,
The Worst In Me,Bad Omens,spotify:track:5IsSDMqDi2YmLjfx5jGDsW,3,229209,True,https://open.spotify.com/track/5IsSDMqDi2YmLjfx5jGDsW,
F E R A L,Bad Omens,spotify:track:4C0L6DsKQClVVTvXMOAyHM,4,245997,True,https://open.spotify.com/track/4C0L6DsKQClVVTvXMOAyHM,
"Enough, Enough Now",Bad Omens,spotify:track:4byiDYdMFKf8KrPgJkOEdH,5,245285,True,https://open.spotify.com/track/4byiDYdMFKf8KrPgJkOEdH,
Malice,Bad Omens,spotify:track:2rBzyfVUzCcw5kUPx9vN3a,6,180371,True,https://open.spotify.com/track/2rBzyfVUzCcw5kUPx9vN3a,
Hedonist,Bad Omens,spotify:track:6wj9ubbsF8hjyGH0sSqjz6,7,127498,True,https://open.spotify.com/track/6wj9ubbsF8hjyGH0sSqjz6,
Broken Youth,Bad Omens,spotify:track:3SHXVZ2jXWHII2N1yAuFSM,8,194204,True,https://open.spotify.com/track/3SHXVZ2jXWHII2N1yAuFSM,
Crawl,Bad Omens,spotify:track:6BqPLkY2NHI2YrJ5OLceDT,9,247401,True,https://open.spotify.com/track/6BqPLkY2NHI2YrJ5OLceDT,
The Letdown,Bad Omens,spotify:track:2It5EGfNCIKL5955AOUCPG,10,246538,True,https://open.spotify.com/track/2It5EGfNCIKL5955AOUCPG,
Reprise (The Sound Of The End),Bad Omens,spotify:track:6denKFnByEuPrXVMVg2dUH,11,201970,True,https://open.spotify.com/track/6denKFnByEuPrXVMVg2dUH,
The Fountain,Bad Omens,spotify:track:29OBncVonJHQRdgJtqXcQj,12,239489,True,https://open.spotify.com/track/29OBncVonJHQRdgJtqXcQj,
